Language	Lambda	Quantile	Samples
Chinese	0.58	0.945454537868	55
Chinese	0.6	0.945454537868	55
Chinese	0.62	0.945454537868	55
Chinese	0.64	0.945454537868	55
Chinese	0.66	0.945454537868	55
Chinese	0.68	0.945454537868	55
Chinese	0.7	0.945454537868	55
Chinese	0.72	0.963636338711	55
Chinese	0.74	0.963636338711	55
Chinese	0.76	0.963636338711	55
Chinese	0.78	0.963636338711	55
Chinese	0.8	0.963636338711	55
Chinese	0.82	0.963636338711	55
Chinese	0.84	0.963636338711	55
Chinese	0.86	0.963636338711	55
Chinese	0.88	0.963636338711	55
Chinese	0.9	0.963636338711	55
Chinese	0.92	0.963636338711	55
Chinese	0.94	0.963636338711	55
Chinese	0.96	0.963636338711	55
Chinese	0.98	0.963636338711	55
Coptic	0.0	1.0	55
Coptic	0.02	1.0	55
Coptic	0.04	1.0	55
Coptic	0.06	1.0	55
Coptic	0.08	1.0	55
Coptic	0.1	1.0	55
Coptic	0.12	1.0	55
Coptic	0.14	1.0	55
Coptic	0.16	1.0	55
Coptic	0.18	1.0	55
Coptic	0.2	1.0	55
Coptic	0.22	1.0	55
Coptic	0.24	1.0	55
Coptic	0.26	1.0	55
Coptic	0.28	1.0	55
Coptic	0.3	1.0	55
Coptic	0.32	1.0	55
Coptic	0.34	1.0	55
Coptic	0.36	1.0	55
Coptic	0.38	1.0	55
Coptic	0.4	1.0	55
Coptic	0.42	1.0	55
Coptic	0.44	1.0	55
Coptic	0.46	1.0	55
Coptic	0.48	1.0	55
Coptic	0.5	1.0	55
Coptic	0.52	1.0	55
Coptic	0.54	1.0	55
Coptic	0.56	1.0	55
Coptic	0.58	1.0	55
Coptic	0.6	1.0	55
Coptic	0.62	1.0	55
Coptic	0.64	1.0	55
Coptic	0.66	1.0	55
Coptic	0.68	1.0	55
Coptic	0.7	1.0	55
Coptic	0.72	1.0	55
Coptic	0.74	1.0	55
Coptic	0.76	1.0	55
Coptic	0.78	1.0	55
Coptic	0.8	1.0	55
Coptic	0.82	1.0	55
Coptic	0.84	1.0	55
Coptic	0.86	1.0	55
Coptic	0.88	1.0	55
Coptic	0.9	1.0	55
Coptic	0.92	1.0	55
Coptic	0.94	1.0	55
Coptic	0.96	1.0	55
Coptic	0.98	1.0	55
Croatian	0.0	1.0	55
Croatian	0.02	1.0	55
Croatian	0.04	1.0	55
Croatian	0.06	1.0	55
Croatian	0.08	1.0	55
Croatian	0.1	1.0	55
Croatian	0.12	1.0	55
Croatian	0.14	1.0	55
Croatian	0.16	1.0	55
Croatian	0.18	1.0	55
Croatian	0.2	1.0	55
Croatian	0.22	1.0	55
Croatian	0.24	1.0	55
Croatian	0.26	1.0	55
Croatian	0.28	1.0	55
Croatian	0.3	1.0	55
Croatian	0.32	1.0	55
Croatian	0.34	1.0	55
Croatian	0.36	1.0	55
Croatian	0.38	1.0	55
Croatian	0.4	1.0	55
Croatian	0.42	1.0	55
Croatian	0.44	1.0	55
Croatian	0.46	1.0	55
Croatian	0.48	1.0	55
Croatian	0.5	1.0	55
Croatian	0.52	1.0	55
Croatian	0.54	1.0	55
Croatian	0.56	1.0	55
Croatian	0.58	1.0	55
Croatian	0.6	1.0	55
Croatian	0.62	1.0	55
Croatian	0.64	1.0	55
Croatian	0.66	1.0	55
Croatian	0.68	1.0	55
Croatian	0.7	1.0	55
Croatian	0.72	1.0	55
Croatian	0.74	1.0	55
Croatian	0.76	1.0	55
Croatian	0.78	1.0	55
Croatian	0.8	1.0	55
Croatian	0.82	1.0	55
Croatian	0.84	1.0	55
Croatian	0.86	1.0	55
Croatian	0.88	1.0	55
Croatian	0.9	1.0	55
Croatian	0.92	1.0	55
Croatian	0.94	1.0	55
Croatian	0.96	1.0	55
Croatian	0.98	1.0	55
Czech	0.0	1.0	51
Czech	0.02	1.0	51
Czech	0.04	1.0	51
Czech	0.06	1.0	51
Czech	0.08	1.0	51
Czech	0.1	1.0	51
Czech	0.12	1.0	51
Czech	0.14	1.0	51
Czech	0.16	1.0	51
Czech	0.18	1.0	51
Czech	0.2	1.0	51
Czech	0.22	1.0	51
Czech	0.24	1.0	51
Czech	0.26	1.0	51
Czech	0.28	1.0	51
Czech	0.3	1.0	51
Czech	0.32	1.0	51
Czech	0.34	1.0	51
Czech	0.36	1.0	51
Czech	0.38	1.0	51
Czech	0.4	1.0	51
Czech	0.42	1.0	51
Czech	0.44	1.0	51
Czech	0.46	1.0	51
Czech	0.48	1.0	51
Czech	0.5	1.0	51
Czech	0.52	1.0	51
Czech	0.54	1.0	51
Czech	0.56	1.0	51
Czech	0.58	1.0	51
Czech	0.6	1.0	51
Czech	0.62	1.0	51
Czech	0.64	1.0	51
Czech	0.66	1.0	51
Czech	0.68	1.0	51
Czech	0.7	1.0	51
Czech	0.72	1.0	51
Czech	0.74	1.0	51
Czech	0.76	1.0	51
Czech	0.78	1.0	51
Czech	0.8	1.0	51
Czech	0.82	1.0	51
Czech	0.84	1.0	51
Czech	0.86	1.0	51
Czech	0.88	1.0	51
Czech	0.9	1.0	51
Czech	0.92	1.0	51
Czech	0.94	1.0	51
Czech	0.96	1.0	51
Czech	0.98	1.0	51
Danish	0.0	1.0	55
Danish	0.02	1.0	55
Danish	0.04	1.0	55
Danish	0.06	1.0	55
Danish	0.08	1.0	55
Danish	0.1	1.0	55
Danish	0.12	1.0	55
Danish	0.14	1.0	55
Danish	0.16	1.0	55
Danish	0.18	1.0	55
Danish	0.2	1.0	55
Danish	0.22	1.0	55
Danish	0.24	1.0	55
Danish	0.26	1.0	55
Danish	0.28	1.0	55
Danish	0.3	1.0	55
Danish	0.32	1.0	55
Danish	0.34	1.0	55
Danish	0.36	1.0	55
Danish	0.38	1.0	55
Danish	0.4	1.0	55
Danish	0.42	1.0	55
Danish	0.44	1.0	55
Danish	0.46	1.0	55
Danish	0.48	1.0	55
Danish	0.5	1.0	55
Danish	0.52	1.0	55
Danish	0.54	1.0	55
Danish	0.56	1.0	55
Danish	0.58	1.0	55
Danish	0.6	1.0	55
Danish	0.62	1.0	55
Danish	0.64	1.0	55
Danish	0.66	1.0	55
Danish	0.68	1.0	55
Danish	0.7	1.0	55
Danish	0.72	1.0	55
Danish	0.74	1.0	55
Danish	0.76	1.0	55
Danish	0.78	1.0	55
Danish	0.8	1.0	55
Danish	0.82	1.0	55
Danish	0.84	1.0	55
Danish	0.86	1.0	55
Danish	0.88	1.0	55
Danish	0.9	1.0	55
Danish	0.92	1.0	55
Danish	0.94	1.0	55
Danish	0.96	1.0	55
Danish	0.98	1.0	55
Dutch	0.0	0.363636374474	55
Dutch	0.02	0.363636374474	55
Dutch	0.04	0.40000000596	55
Dutch	0.06	0.40000000596	55
Dutch	0.08	0.454545468092	55
Dutch	0.1	0.472727268934	55
Dutch	0.12	0.490909099579	55
Dutch	0.14	0.509090900421	55
Dutch	0.16	0.527272701263	55
